completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
16,4,8,8,3
16,3,6,10,3
17,6,12,5,3
17,2,4,13,3
19,5,10,9,3
27,8,16,11,3
27,1,2,25,3
32,9,18,14,3
33,10,20,13,3
34,7,14,20,3
35,11,22,13,3
36,14,28,8,3
37,13,26,11,3
38,16,32,6,3
41,19,38,3,3
42,17,34,8,3
43,15,30,13,3
46,20,40,6,3
46,12,24,22,3
48,18,36,12,3
52,22,44,8,3
54,21,42,12,3
54,23,46,8,3
57,24,48,9,3
61,27,54,7,3
62,29,58,4,3
63,26,52,11,3
69,31,62,7,3
70,28,56,14,3
71,32,64,7,3
71,30,60,11,3
74,33,66,8,3
77,36,72,5,3
77,35,70,7,3
78,25,50,28,3
81,34,68,13,3
86,39,78,8,3
86,40,80,6,3
89,37,74,15,3
90,38,76,14,3
91,41,82,9,3
93,44,88,5,3
95,45,90,5,3
96,43,86,10,3
99,46,92,7,3
103,42,84,19,3
107,51,102,5,3
107,50,100,7,3
109,47,94,15,3
113,53,106,7,3
114,49,98,16,3
116,55,110,6,3
117,52,104,13,3
118,54,108,10,3
118,48,96,22,3
121,58,116,5,3
123,56,112,11,3
128,60,120,8,3
129,59,118,11,3
129,57,114,15,3
136,62,124,12,3
138,64,128,10,3
