completion_time,task_id,start_time,process_time,num_operations
7,0,0,7,3
16,2,4,12,3
17,5,10,7,3
18,3,6,12,3
23,6,12,11,3
23,7,14,9,3
24,1,2,22,3
30,8,16,14,3
30,4,8,22,3
31,9,18,13,3
32,12,24,8,3
32,10,20,12,3
33,11,22,11,3
36,14,28,8,3
38,13,26,12,3
44,17,34,10,3
51,16,32,19,3
51,18,36,15,3
53,15,30,23,3
55,25,50,5,3
59,24,48,11,3
61,19,38,23,3
62,20,40,22,3
65,21,42,23,3
66,30,60,6,3
68,22,44,24,3
72,23,46,26,3
74,31,62,12,3
74,32,64,10,3
76,26,52,24,3
76,29,58,18,3
77,33,66,11,3
83,28,56,27,3
85,39,78,7,3
86,37,74,12,3
86,40,80,6,3
89,35,70,19,3
90,38,76,14,3
91,34,68,23,3
92,27,54,38,3
94,42,84,10,3
95,41,82,13,3
100,45,90,10,3
103,47,94,9,3
106,46,92,14,3
106,49,98,8,3
106,44,88,18,3
107,48,96,11,3
107,43,86,21,3
110,52,104,6,3
112,54,108,4,3
112,51,102,10,3
112,53,106,6,3
113,50,100,13,3
115,36,72,43,3
118,55,110,8,3
119,57,114,5,3
123,56,112,11,3
124,60,120,4,3
125,59,118,7,3
130,62,124,6,3
130,58,116,14,3
133,63,126,7,3
136,61,122,14,3
138,65,130,8,3
