completion_time,task_id,start_time,process_time,num_operations
7,0,0,7,3
14,2,4,10,3
15,4,8,7,3
16,5,10,6,3
22,6,12,10,3
23,3,6,17,3
26,8,16,10,3
27,7,14,13,3
30,10,20,10,3
32,9,18,14,3
32,1,2,30,3
36,13,26,10,3
39,14,28,11,3
40,11,22,18,3
41,12,24,17,3
45,15,30,15,3
46,18,36,10,3
47,16,32,15,3
52,17,34,18,3
53,21,42,11,3
56,19,38,18,3
61,24,48,13,3
67,20,40,27,3
68,25,50,18,3
72,30,60,12,3
72,22,44,28,3
74,23,46,28,3
75,29,58,17,3
75,28,56,19,3
80,35,70,10,3
80,31,62,18,3
82,33,66,16,3
84,27,54,30,3
87,34,68,19,3
90,26,52,38,3
90,36,72,18,3
93,38,76,17,3
93,40,80,13,3
95,32,64,31,3
98,39,78,20,3
101,43,86,15,3
102,45,90,12,3
107,42,84,23,3
108,47,94,14,3
110,49,98,12,3
110,50,100,10,3
115,41,82,33,3
118,51,102,16,3
119,44,88,31,3
119,37,74,45,3
120,53,106,14,3
126,57,114,12,3
127,52,104,23,3
128,46,92,36,3
129,55,110,19,3
130,58,116,14,3
137,59,118,19,3
138,61,122,16,3
140,60,120,20,3
