completion_time,task_id,start_time,process_time,num_operations
10,1,2,8,3
10,0,0,10,3
16,2,4,12,3
22,3,6,16,3
24,6,12,12,3
24,7,14,10,3
28,10,20,8,3
30,9,18,12,3
30,5,10,20,3
33,11,22,11,3
44,16,32,12,3
46,14,28,18,3
50,15,30,20,3
51,19,38,13,3
54,8,16,38,3
56,12,24,32,3
61,18,36,25,3
63,13,26,37,3
63,24,48,15,3
69,27,54,15,3
70,23,46,24,3
71,22,44,27,3
72,4,8,64,3
74,29,58,16,3
76,17,34,42,3
77,20,40,37,3
83,28,56,27,3
83,21,42,41,3
85,35,70,15,3
86,30,60,26,3
86,25,50,36,3
87,39,78,9,3
90,33,66,24,3
94,36,72,22,3
95,37,74,21,3
95,26,52,43,3
96,31,62,34,3
100,34,68,32,3
100,38,76,24,3
101,40,80,21,3
107,50,100,7,3
110,48,96,14,3
112,52,104,8,3
113,43,86,27,3
113,46,92,21,3
114,45,90,24,3
115,47,94,21,3
116,44,88,28,3
117,32,64,53,3
118,49,98,20,3
120,51,102,18,3
120,55,110,10,3
121,54,108,13,3
125,42,84,41,3
126,41,82,44,3
129,53,106,23,3
129,56,112,17,3
131,57,114,17,3
134,60,120,14,3
136,59,118,18,3
140,58,116,24,3
