completion_time,task_id,start_time,process_time,num_operations
7,0,0,7,3
16,5,10,6,3
18,1,2,16,3
18,2,4,14,3
23,6,12,11,3
32,8,16,16,3
34,4,8,26,3
34,9,18,16,3
38,11,22,16,3
42,3,6,36,3
45,12,24,21,3
49,19,38,11,3
50,7,14,36,3
51,13,26,25,3
52,14,28,24,3
55,15,30,25,3
56,10,20,36,3
56,17,34,22,3
61,20,40,21,3
63,16,32,31,3
63,24,48,15,3
66,25,50,16,3
68,21,42,26,3
68,28,56,12,3
72,27,54,18,3
73,22,44,29,3
75,29,58,17,3
76,32,64,12,3
76,31,62,14,3
78,18,36,42,3
78,30,60,18,3
79,34,68,11,3
82,35,70,12,3
84,23,46,38,3
86,37,74,12,3
92,36,72,20,3
93,42,84,9,3
95,38,76,19,3
98,44,88,10,3
102,40,80,22,3
102,26,52,50,3
109,41,82,27,3
110,33,66,44,3
111,46,92,19,3
115,50,100,15,3
115,43,86,29,3
119,45,90,29,3
123,49,98,25,3
127,48,96,31,3
127,55,110,17,3
131,57,114,17,3
132,39,78,54,3
135,60,120,15,3
135,52,104,31,3
