completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
8,1,2,6,3
13,4,8,5,3
13,2,4,9,3
20,3,6,14,3
20,5,10,10,3
22,8,16,6,3
24,7,14,10,3
30,9,18,12,3
32,14,28,4,3
34,12,24,10,3
36,13,26,10,3
36,10,20,16,3
42,16,32,10,3
43,15,30,13,3
46,18,36,10,3
46,6,12,34,3
50,19,38,12,3
50,11,22,28,3
50,21,42,8,3
51,20,40,11,3
54,17,34,20,3
56,22,44,12,3
61,26,52,9,3
64,25,50,14,3
65,24,48,17,3
68,29,58,10,3
68,23,46,22,3
71,27,54,17,3
72,32,64,8,3
73,28,56,17,3
74,30,60,14,3
75,31,62,13,3
76,35,70,6,3
76,33,66,10,3
78,36,72,6,3
78,34,68,10,3
81,37,74,7,3
83,39,78,5,3
89,38,76,13,3
94,43,86,8,3
96,41,82,14,3
97,44,88,9,3
100,46,92,8,3
101,40,80,21,3
102,47,94,8,3
106,45,90,16,3
111,42,84,27,3
112,48,96,16,3
115,52,104,11,3
116,54,108,8,3
117,49,98,19,3
118,53,106,12,3
119,56,112,7,3
120,50,100,20,3
121,55,110,11,3
122,51,102,20,3
124,57,114,10,3
126,58,116,10,3
129,59,118,11,3
132,62,124,8,3
134,60,120,14,3
135,61,122,13,3
136,63,126,10,3
