completion_time,task_id,start_time,process_time,num_operations
7,1,2,5,3
14,0,0,14,3
14,4,8,6,3
19,2,4,15,3
22,5,10,12,3
24,3,6,18,3
24,6,12,12,3
27,8,16,11,3
29,9,18,11,3
33,7,14,19,3
36,10,20,16,3
37,13,26,11,3
39,12,24,15,3
41,11,22,19,3
47,14,28,19,3
49,16,32,17,3
49,15,30,19,3
52,21,42,10,3
53,19,38,15,3
59,24,48,11,3
59,17,34,25,3
61,20,40,21,3
62,23,46,16,3
65,18,36,29,3
68,28,56,12,3
70,32,64,6,3
73,22,44,29,3
74,27,54,20,3
76,26,52,24,3
76,29,58,18,3
77,25,50,27,3
78,30,60,18,3
81,33,66,15,3
88,38,76,12,3
89,35,70,19,3
91,37,74,17,3
92,39,78,14,3
92,36,72,20,3
96,41,82,14,3
101,34,68,33,3
103,44,88,15,3
113,31,62,51,3
113,48,96,17,3
114,42,84,30,3
117,40,80,37,3
120,47,94,26,3
121,45,90,31,3
124,56,112,12,3
127,43,86,41,3
128,52,104,24,3
129,61,122,7,3
131,49,98,33,3
132,46,92,40,3
133,59,118,15,3
134,51,102,32,3
135,53,106,29,3
136,63,126,10,3
137,50,100,37,3
137,55,110,27,3
140,64,128,12,3
