completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
8,1,2,6,3
13,2,4,9,3
15,5,10,5,3
15,3,6,9,3
17,4,8,9,3
23,6,12,11,3
25,8,16,9,3
32,9,18,14,3
40,11,22,18,3
43,15,30,13,3
45,12,24,21,3
45,19,38,7,3
48,16,32,16,3
49,7,14,35,3
55,13,26,29,3
56,10,20,36,3
57,22,44,13,3
57,18,36,21,3
57,21,42,15,3
59,20,40,19,3
59,23,46,13,3
61,14,28,33,3
64,25,50,14,3
64,17,34,30,3
65,26,52,13,3
65,28,56,9,3
68,24,48,20,3
69,31,62,7,3
74,32,64,10,3
75,30,60,15,3
78,29,58,20,3
80,34,68,12,3
80,37,74,6,3
81,33,66,15,3
83,27,54,29,3
85,35,70,15,3
86,38,76,10,3
91,40,80,11,3
91,42,84,7,3
93,41,82,11,3
95,39,78,17,3
95,36,72,23,3
96,43,86,10,3
99,44,88,11,3
101,45,90,11,3
106,47,94,12,3
107,49,98,9,3
109,50,100,9,3
110,46,92,18,3
116,53,106,10,3
119,56,112,7,3
119,51,102,17,3
120,48,96,24,3
125,57,114,11,3
127,55,110,17,3
128,54,108,20,3
129,60,120,9,3
131,59,118,13,3
131,52,104,27,3
134,63,126,8,3
135,58,116,19,3
135,65,130,5,3
136,62,124,12,3
139,64,128,11,3
