completion_time,task_id,start_time,process_time,num_operations
8,1,2,6,3
9,0,0,9,3
11,2,4,7,3
13,3,6,7,3
15,4,8,7,3
16,5,10,6,3
18,7,14,4,3
21,6,12,9,3
25,9,18,7,3
26,8,16,10,3
32,11,22,10,3
37,12,24,13,3
41,15,30,11,3
42,10,20,22,3
43,13,26,17,3
45,14,28,17,3
50,21,42,8,3
54,18,36,18,3
55,22,44,11,3
61,19,38,23,3
63,17,34,29,3
64,29,58,6,3
64,24,48,16,3
66,26,52,14,3
73,30,60,13,3
73,16,32,41,3
80,27,54,26,3
81,33,66,15,3
81,32,64,17,3
87,28,56,31,3
90,31,62,28,3
94,34,68,26,3
95,36,72,23,3
97,43,86,11,3
99,38,76,23,3
99,20,40,59,3
99,35,70,29,3
100,45,90,10,3
101,37,74,27,3
104,25,50,54,3
105,42,84,21,3
108,44,88,20,3
108,47,94,14,3
110,40,80,30,3
110,39,78,32,3
110,41,82,28,3
111,48,96,15,3
112,49,98,14,3
119,55,110,9,3
119,53,106,13,3
121,52,104,17,3
122,51,102,20,3
123,54,108,15,3
125,46,92,33,3
129,59,118,11,3
133,23,46,87,3
134,50,100,34,3
138,56,112,26,3
139,62,124,15,3
