completion_time,task_id,start_time,process_time,num_operations
4,0,0,4,3
8,1,2,6,3
13,2,4,9,3
18,6,12,6,3
20,3,6,14,3
21,5,10,11,3
25,7,14,11,3
28,9,18,10,3
29,8,16,13,3
30,10,20,10,3
34,4,8,26,3
35,11,22,13,3
36,14,28,8,3
38,12,24,14,3
40,16,32,8,3
44,15,30,14,3
46,13,26,20,3
48,19,38,10,3
48,18,36,12,3
49,17,34,15,3
51,21,42,9,3
53,23,46,7,3
58,25,50,8,3
58,26,52,6,3
60,27,54,6,3
66,28,56,10,3
71,22,44,27,3
72,31,62,10,3
73,30,60,13,3
73,20,40,33,3
73,29,58,15,3
80,32,64,16,3
81,33,66,15,3
82,36,72,10,3
84,34,68,16,3
84,40,80,4,3
85,35,70,15,3
87,38,76,11,3
87,37,74,13,3
90,24,48,42,3
92,39,78,14,3
94,43,86,8,3
97,41,82,15,3
97,42,84,13,3
103,45,90,13,3
104,49,98,6,3
106,48,96,10,3
106,47,94,12,3
107,46,92,15,3
112,50,100,12,3
117,51,102,15,3
120,52,104,16,3
122,44,88,34,3
122,57,114,8,3
123,54,108,15,3
124,55,110,14,3
126,59,118,8,3
127,60,120,7,3
129,56,112,17,3
132,58,116,16,3
136,61,122,14,3
138,62,124,14,3
140,64,128,12,3
