completion_time,task_id,start_time,process_time,num_operations
10,0,0,10,3
11,3,6,5,3
14,4,8,6,3
17,1,2,15,3
18,6,12,6,3
19,2,4,15,3
26,9,18,8,3
27,5,10,17,3
29,7,14,15,3
30,10,20,10,3
32,8,16,16,3
33,14,28,5,3
36,11,22,14,3
39,16,32,7,3
39,17,34,5,3
42,18,36,6,3
42,15,30,12,3
44,12,24,20,3
45,13,26,19,3
48,22,44,4,3
53,21,42,11,3
55,23,46,9,3
55,19,38,17,3
63,25,50,13,3
63,24,48,15,3
64,26,52,12,3
66,27,54,12,3
67,20,40,27,3
68,28,56,12,3
73,30,60,13,3
75,32,64,11,3
78,29,58,20,3
80,33,66,14,3
84,40,80,4,3
92,35,70,22,3
92,38,76,16,3
93,31,62,31,3
95,36,72,23,3
96,42,84,12,3
98,34,68,30,3
104,39,78,26,3
107,50,100,7,3
110,43,86,24,3
113,45,90,23,3
114,44,88,26,3
115,37,74,41,3
117,46,92,25,3
121,47,94,27,3
122,41,82,40,3
123,51,102,21,3
125,52,104,21,3
126,49,98,28,3
130,56,112,18,3
134,54,108,26,3
135,55,110,25,3
136,60,120,16,3
137,62,124,13,3
138,53,106,32,3
140,48,96,44,3
