completion_time,task_id,start_time,process_time,num_operations
9,3,3,6,3
10,2,2,8,3
12,1,1,11,3
15,0,0,15,3
19,5,5,14,3
20,6,6,14,3
22,9,9,13,3
23,14,14,9,3
25,4,4,21,3
27,11,11,16,3
28,10,10,18,3
30,13,13,17,3
34,12,12,22,3
35,16,16,19,3
36,21,21,15,3
39,8,8,31,3
40,23,23,17,3
43,15,15,28,3
44,19,19,25,3
44,31,31,13,3
48,27,27,21,3
52,26,26,26,3
52,17,17,35,3
54,28,28,26,3
54,33,33,21,3
56,25,25,31,3
56,45,45,11,3
57,30,30,27,3
59,20,20,39,3
61,41,41,20,3
61,18,18,43,3
63,51,51,12,3
65,7,7,58,3
67,34,34,33,3
71,29,29,42,3
72,40,40,32,3
72,44,44,28,3
73,48,48,25,3
76,36,36,40,3
77,60,60,17,3
82,24,24,58,3
88,68,68,20,3
93,43,43,50,3
94,39,39,55,3
96,73,73,23,3
97,57,57,40,3
98,42,42,56,3
99,91,91,8,3
102,58,58,44,3
103,50,50,53,3
106,37,37,69,3
106,22,22,84,3
107,46,46,61,3
109,65,65,44,3
110,78,78,32,3
110,62,62,48,3
110,71,71,39,3
114,72,72,42,3
114,61,61,53,3
121,35,35,86,3
131,75,75,56,3
131,49,49,82,3
132,52,52,80,3
133,74,74,59,3
134,63,63,71,3
137,47,47,90,3
138,55,55,83,3
138,76,76,62,3
140,90,90,50,3
