completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
10,1,2,8,3
13,2,4,9,3
15,5,10,5,3
20,7,14,6,3
21,3,6,15,3
22,4,8,14,3
25,9,18,7,3
25,10,20,5,3
29,6,12,17,3
32,12,24,8,3
35,14,28,7,3
38,8,16,22,3
40,11,22,18,3
43,19,38,5,3
45,17,34,11,3
46,16,32,14,3
48,15,30,18,3
49,18,36,13,3
55,13,26,29,3
63,22,44,19,3
64,23,46,18,3
67,20,40,27,3
69,26,52,17,3
80,35,70,10,3
82,32,64,18,3
85,27,54,31,3
86,28,56,30,3
89,24,48,41,3
91,34,68,23,3
93,33,66,27,3
97,31,62,35,3
99,36,72,27,3
100,47,94,6,3
102,21,42,60,3
104,30,60,44,3
112,41,82,30,3
114,39,78,36,3
116,52,104,12,3
120,54,108,12,3
123,46,92,31,3
124,59,118,6,3
126,38,76,50,3
128,44,88,40,3
130,51,102,28,3
133,50,100,33,3
137,25,50,87,3
