completion_time,task_id,start_time,process_time,num_operations
9,2,4,5,3
12,0,0,12,3
22,5,10,12,3
24,4,8,16,3
27,9,18,9,3
29,1,2,27,3
30,7,14,16,3
30,8,16,14,3
34,11,22,12,3
37,14,28,9,3
39,3,6,33,3
48,13,26,22,3
53,22,44,9,3
56,19,38,18,3
57,18,36,21,3
58,15,30,28,3
59,17,34,25,3
63,21,42,21,3
65,16,32,33,3
66,24,48,18,3
66,28,56,10,3
66,20,40,26,3
67,6,12,55,3
72,23,46,26,3
76,27,54,22,3
77,25,50,27,3
78,26,52,26,3
81,12,24,57,3
83,31,62,21,3
85,33,66,19,3
86,32,64,22,3
88,38,76,12,3
94,44,88,6,3
98,41,82,16,3
100,34,68,32,3
110,43,86,24,3
111,40,80,31,3
111,29,58,53,3
114,42,84,30,3
114,39,78,36,3
118,47,94,24,3
128,35,70,58,3
132,50,100,32,3
135,56,112,23,3
135,37,74,61,3
138,51,102,36,3
