completion_time,task_id,start_time,process_time,num_operations
8,1,2,6,3
10,0,0,10,3
14,2,4,10,3
17,3,6,11,3
22,6,12,10,3
23,7,14,9,3
29,10,20,9,3
30,8,16,14,3
32,5,10,22,3
33,11,22,11,3
36,13,26,10,3
38,15,30,8,3
38,4,8,30,3
45,14,28,17,3
48,9,18,30,3
51,21,42,9,3
54,20,40,14,3
69,24,48,21,3
70,23,46,24,3
70,17,34,36,3
70,18,36,34,3
74,12,24,50,3
77,33,66,11,3
77,19,38,39,3
79,30,60,19,3
80,26,52,28,3
81,28,56,25,3
82,29,58,24,3
88,36,72,16,3
89,34,68,21,3
90,16,32,58,3
99,47,94,5,3
100,38,76,24,3
101,31,62,39,3
102,32,64,38,3
103,42,84,19,3
107,27,54,53,3
108,39,78,30,3
109,35,70,39,3
111,45,90,21,3
119,25,50,69,3
121,41,82,39,3
125,54,108,17,3
126,59,118,8,3
127,48,96,31,3
135,65,130,5,3
138,51,102,36,3
