completion_time,task_id,start_time,process_time,num_operations
6,1,2,4,3
15,2,4,11,3
18,0,0,18,3
21,6,12,9,3
21,9,18,3,3
31,8,16,15,3
32,12,24,8,3
32,13,26,6,3
34,3,6,28,3
37,11,22,15,3
39,5,10,29,3
41,4,8,33,3
45,14,28,17,3
46,10,20,26,3
47,17,34,13,3
49,16,32,17,3
51,19,38,13,3
54,21,42,12,3
56,15,30,26,3
61,22,44,17,3
61,23,46,15,3
65,20,40,25,3
66,25,50,16,3
68,31,62,6,3
68,24,48,20,3
72,26,52,20,3
74,7,14,60,3
76,28,56,20,3
79,32,64,15,3
82,30,60,22,3
82,35,70,12,3
83,34,68,15,3
84,38,76,8,3
86,27,54,32,3
89,33,66,23,3
89,41,82,7,3
90,37,74,16,3
91,29,58,33,3
96,44,88,8,3
102,43,86,16,3
103,36,72,31,3
106,42,84,22,3
106,45,90,16,3
107,39,78,29,3
112,52,104,8,3
113,46,92,21,3
114,50,100,14,3
119,49,98,21,3
120,48,96,24,3
121,40,80,41,3
124,51,102,22,3
124,53,106,18,3
133,58,116,17,3
135,57,114,21,3
139,60,120,19,3
