completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
10,2,4,6,3
13,3,6,7,3
14,1,2,12,3
23,5,10,13,3
23,6,12,11,3
27,7,14,13,3
33,14,28,5,3
38,8,16,22,3
41,4,8,33,3
43,10,20,23,3
46,17,34,12,3
46,12,24,22,3
48,11,22,26,3
52,16,32,20,3
54,21,42,12,3
57,9,18,39,3
57,19,38,19,3
57,13,26,31,3
61,23,46,15,3
61,20,40,21,3
64,29,58,6,3
64,15,30,34,3
65,25,50,15,3
68,22,44,24,3
71,26,52,19,3
72,24,48,24,3
76,32,64,12,3
78,27,54,24,3
78,28,56,22,3
82,33,66,16,3
85,31,62,23,3
86,18,36,50,3
86,34,68,18,3
90,39,78,12,3
90,41,82,8,3
95,46,92,3,3
96,30,60,36,3
97,37,74,23,3
105,35,70,35,3
107,40,80,27,3
107,38,76,31,3
108,50,100,8,3
112,42,84,28,3
113,51,102,11,3
117,47,94,23,3
117,44,88,29,3
120,36,72,48,3
121,52,104,17,3
121,45,90,31,3
123,48,96,27,3
126,53,106,20,3
127,56,112,15,3
129,43,86,43,3
130,57,114,16,3
131,61,122,9,3
132,49,98,34,3
138,54,108,30,3
139,62,124,15,3
140,55,110,30,3
