completion_time,task_id,start_time,process_time,num_operations
9,0,0,9,3
10,1,2,8,3
14,4,8,6,3
17,5,10,7,3
20,8,16,4,3
24,7,14,10,3
24,6,12,12,3
25,10,20,5,3
25,9,18,7,3
30,3,6,24,3
30,13,26,4,3
32,2,4,28,3
37,14,28,9,3
39,16,32,7,3
40,12,24,16,3
40,17,34,6,3
57,19,38,19,3
62,24,48,14,3
70,15,30,40,3
73,21,42,31,3
77,20,40,37,3
78,29,58,20,3
79,25,50,29,3
80,22,44,36,3
84,36,72,12,3
96,33,66,30,3
97,44,88,9,3
97,18,36,61,3
100,11,22,78,3
104,32,64,40,3
105,42,84,21,3
109,30,60,49,3
111,43,86,25,3
112,39,78,34,3
114,45,90,24,3
116,27,54,62,3
117,47,94,23,3
126,34,68,58,3
127,26,52,75,3
132,54,108,24,3
132,57,114,18,3
134,51,102,32,3
135,65,130,5,3
