completion_time,task_id,start_time,process_time,num_operations
4,0,0,4,3
8,1,2,6,3
13,4,8,5,3
17,3,6,11,3
27,8,16,11,3
28,10,20,8,3
30,5,10,20,3
31,11,22,9,3
34,2,4,30,3
44,7,14,30,3
51,14,28,23,3
52,16,32,20,3
54,12,24,30,3
58,17,34,24,3
59,20,40,19,3
59,13,26,33,3
61,19,38,23,3
61,9,18,43,3
68,31,62,6,3
71,25,50,21,3
79,23,46,33,3
80,22,44,36,3
83,15,30,53,3
84,28,56,28,3
86,33,66,20,3
86,38,76,10,3
92,43,86,6,3
92,26,52,40,3
92,32,64,28,3
93,34,68,25,3
99,35,70,29,3
99,6,12,87,3
100,18,36,64,3
101,21,42,59,3
105,27,54,51,3
109,29,58,51,3
110,52,104,6,3
111,39,78,33,3
114,30,60,54,3
117,46,92,25,3
117,37,74,43,3
123,41,82,41,3
127,24,48,79,3
128,47,94,34,3
129,54,108,21,3
137,49,98,39,3
