completion_time,task_id,start_time,process_time,num_operations
8,0,0,8,3
13,2,4,9,3
16,3,6,10,3
24,6,12,12,3
24,1,2,22,3
25,5,10,15,3
28,8,16,12,3
30,9,18,12,3
34,12,24,10,3
38,7,14,24,3
39,15,30,9,3
43,13,26,17,3
44,18,36,8,3
46,14,28,18,3
48,10,20,28,3
50,21,42,8,3
52,23,46,6,3
56,17,34,22,3
57,16,32,25,3
60,22,44,16,3
60,19,38,22,3
64,20,40,24,3
65,26,52,13,3
67,11,22,45,3
70,25,50,20,3
71,4,8,63,3
75,28,56,19,3
76,24,48,28,3
77,30,60,17,3
77,33,66,11,3
78,34,68,10,3
84,31,62,22,3
85,36,72,13,3
95,29,58,37,3
96,27,54,42,3
100,39,78,22,3
102,42,84,18,3
102,38,76,26,3
106,35,70,36,3
109,41,82,27,3
113,46,92,21,3
114,47,94,20,3
115,44,88,27,3
119,43,86,33,3
124,37,74,50,3
129,54,108,21,3
130,51,102,28,3
132,50,100,32,3
132,49,98,34,3
136,55,110,26,3
136,58,116,20,3
138,61,122,16,3
139,56,112,27,3
140,68,136,4,3
