completion_time,task_id,start_time,process_time,num_operations
5,0,0,5,3
8,1,2,6,3
14,4,8,6,3
15,2,4,11,3
18,7,14,4,3
24,5,10,14,3
26,10,20,6,3
26,8,16,10,3
29,3,6,23,3
34,13,26,8,3
36,14,28,8,3
37,9,18,19,3
39,11,22,17,3
43,16,32,11,3
43,15,30,13,3
45,12,24,21,3
56,18,36,20,3
58,6,12,46,3
60,26,52,8,3
63,20,40,23,3
65,28,56,9,3
66,29,58,8,3
70,30,60,10,3
73,17,34,39,3
73,27,54,19,3
78,23,46,32,3
81,35,70,11,3
81,34,68,13,3
84,21,42,42,3
85,31,62,23,3
85,37,74,11,3
91,19,38,53,3
92,22,44,48,3
96,40,80,16,3
99,47,94,5,3
100,38,76,24,3
101,42,84,17,3
106,39,78,28,3
108,52,104,4,3
110,41,82,28,3
113,45,90,23,3
115,33,66,49,3
117,49,98,19,3
118,50,100,18,3
119,48,96,23,3
122,24,48,74,3
123,25,50,73,3
124,36,72,52,3
126,46,92,34,3
127,55,110,17,3
127,57,114,13,3
129,61,122,7,3
136,56,112,24,3
137,43,86,51,3
139,32,64,75,3
