completion_time,task_id,start_time,process_time,num_operations
9,2,4,5,3
12,3,6,6,3
16,6,12,4,3
23,5,10,13,3
24,4,8,16,3
24,7,14,10,3
25,0,0,25,3
26,1,2,24,3
33,10,20,13,3
33,8,16,17,3
43,12,24,19,3
44,11,22,22,3
44,15,30,14,3
48,16,32,16,3
50,18,36,14,3
51,21,42,9,3
52,19,38,14,3
53,13,26,27,3
61,9,18,43,3
62,22,44,18,3
63,17,34,29,3
66,14,28,38,3
67,20,40,27,3
76,25,50,26,3
80,23,46,34,3
81,32,64,17,3
84,29,58,26,3
87,35,70,17,3
87,38,76,11,3
88,26,52,36,3
90,42,84,6,3
91,28,56,35,3
92,37,74,18,3
92,31,62,30,3
93,33,66,27,3
97,36,72,25,3
100,47,94,6,3
101,30,60,41,3
102,40,80,22,3
102,34,68,34,3
107,39,78,29,3
108,27,54,54,3
109,24,48,61,3
112,43,86,26,3
112,41,82,30,3
121,52,104,17,3
126,53,106,20,3
127,49,98,29,3
129,45,90,39,3
136,51,102,34,3
136,46,92,44,3
138,48,96,42,3
139,55,110,29,3
