completion_time,task_id,start_time,process_time,num_operations
8,0,0,8,3
12,1,2,10,3
22,7,14,8,3
24,2,4,20,3
26,4,8,18,3
28,8,16,12,3
33,10,20,13,3
37,5,10,27,3
37,17,34,3,3
39,6,12,27,3
40,15,30,10,3
44,9,18,26,3
47,19,38,9,3
48,18,36,12,3
50,20,40,10,3
56,3,6,50,3
61,24,48,13,3
64,21,42,22,3
68,14,28,40,3
78,22,44,34,3
79,13,26,53,3
80,25,50,30,3
82,33,66,16,3
84,27,54,30,3
86,26,52,34,3
87,35,70,17,3
91,16,32,59,3
92,34,68,24,3
92,28,56,36,3
95,38,76,19,3
104,32,64,40,3
106,23,46,60,3
107,43,86,21,3
108,11,22,86,3
110,37,74,36,3
111,46,92,19,3
113,12,24,89,3
115,47,94,21,3
115,31,62,53,3
127,52,104,23,3
127,48,96,31,3
127,29,58,69,3
129,50,100,29,3
132,36,72,60,3
134,57,114,20,3
135,42,84,51,3
139,41,82,57,3
