completion_time,task_id,start_time,process_time,num_operations
10,1,2,8,3
16,2,4,12,3
18,0,0,18,3
20,4,8,12,3
21,3,6,15,3
22,6,12,10,3
23,5,10,13,3
27,8,16,11,3
27,9,18,9,3
28,10,20,8,3
29,7,14,15,3
37,12,24,13,3
37,14,28,9,3
40,13,26,14,3
42,11,22,20,3
42,15,30,12,3
45,16,32,13,3
48,20,40,8,3
51,17,34,17,3
57,19,38,19,3
57,18,36,21,3
59,21,42,17,3
60,23,46,14,3
62,22,44,18,3
65,25,50,15,3
68,32,64,4,3
68,27,54,14,3
73,31,62,11,3
73,24,48,25,3
76,30,60,16,3
77,29,58,19,3
81,26,52,29,3
83,28,56,27,3
88,38,76,12,3
92,39,78,14,3
93,34,68,25,3
96,37,74,22,3
97,35,70,27,3
99,40,80,19,3
101,36,72,29,3
108,46,92,16,3
111,33,66,45,3
111,45,90,21,3
115,50,100,15,3
115,43,86,29,3
120,42,84,36,3
123,47,94,29,3
123,41,82,41,3
125,57,114,11,3
129,48,96,33,3
132,56,112,20,3
133,53,106,27,3
133,51,102,31,3
137,55,110,27,3
139,44,88,51,3
