completion_time,task_id,start_time,process_time,num_operations
15,0,0,15,3
23,5,10,13,3
27,10,20,7,3
33,1,2,31,3
33,6,12,21,3
34,2,4,30,3
41,19,38,3,3
44,9,18,26,3
46,15,30,16,3
47,18,36,11,3
48,12,24,24,3
50,3,6,44,3
52,7,14,38,3
56,24,48,8,3
58,20,40,18,3
59,13,26,33,3
60,8,16,44,3
61,4,8,53,3
62,23,46,16,3
66,16,32,34,3
67,31,62,5,3
70,14,28,42,3
72,32,64,8,3
73,11,22,51,3
76,28,56,20,3
76,26,52,24,3
76,34,68,8,3
79,27,54,25,3
88,25,50,38,3
88,29,58,30,3
89,35,70,19,3
90,21,42,48,3
106,38,76,30,3
115,41,82,33,3
120,47,94,26,3
121,51,102,19,3
123,37,74,49,3
126,36,72,54,3
128,48,96,32,3
134,54,108,26,3
135,42,84,51,3
137,46,92,45,3
138,53,106,32,3
139,59,118,21,3
139,44,88,51,3
