completion_time,task_id,start_time,process_time,num_operations
7,0,0,7,3
15,1,2,13,3
21,4,8,13,3
24,6,12,12,3
25,3,6,19,3
31,8,16,15,3
32,10,20,12,3
35,15,30,5,3
38,2,4,34,3
41,14,28,13,3
46,5,10,36,3
48,13,26,22,3
53,11,22,31,3
54,17,34,20,3
54,7,14,40,3
58,21,42,16,3
59,18,36,23,3
61,12,24,37,3
64,16,32,32,3
65,22,44,21,3
66,29,58,8,3
69,23,46,23,3
70,24,48,22,3
75,9,18,57,3
76,25,50,26,3
80,30,60,20,3
80,20,40,40,3
82,27,54,28,3
83,26,52,31,3
87,36,72,15,3
92,38,76,16,3
94,37,74,20,3
95,35,70,25,3
101,31,62,39,3
104,41,82,22,3
106,44,88,18,3
108,28,56,52,3
108,49,98,10,3
109,39,78,31,3
111,43,86,25,3
111,34,68,43,3
112,40,80,32,3
115,48,96,19,3
120,33,66,54,3
121,45,90,31,3
123,42,84,39,3
123,51,102,21,3
127,46,92,35,3
128,54,108,20,3
130,32,64,66,3
133,53,106,27,3
140,47,94,46,3
