completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
14,4,8,6,3
16,5,10,6,3
21,1,2,19,3
27,2,4,23,3
33,10,20,13,3
35,11,22,13,3
35,7,14,21,3
42,3,6,36,3
43,14,28,15,3
44,6,12,32,3
45,8,16,29,3
46,21,42,4,3
52,13,26,26,3
55,15,30,25,3
56,18,36,20,3
60,23,46,14,3
60,27,54,6,3
63,9,18,45,3
64,17,34,30,3
66,19,38,28,3
70,26,52,18,3
70,22,44,26,3
70,16,32,38,3
73,24,48,25,3
77,20,40,37,3
79,36,72,7,3
81,25,50,31,3
86,31,62,24,3
97,37,74,23,3
101,32,64,37,3
103,40,80,23,3
103,29,58,45,3
104,38,76,28,3
109,30,60,49,3
110,28,56,54,3
113,41,82,31,3
114,34,68,46,3
118,39,78,40,3
122,46,92,30,3
125,45,90,35,3
125,35,70,55,3
127,60,120,7,3
132,12,24,108,3
133,64,128,5,3
134,44,88,46,3
138,43,86,52,3
139,33,66,73,3
