completion_time,task_id,start_time,process_time,num_operations
13,1,2,11,3
15,2,4,11,3
17,0,0,17,3
34,8,16,18,3
34,9,18,16,3
39,6,12,27,3
44,11,22,22,3
52,12,24,28,3
54,3,6,48,3
57,16,32,25,3
58,27,54,4,3
63,4,8,55,3
66,5,10,56,3
66,17,34,32,3
68,28,56,12,3
69,19,38,31,3
73,23,46,27,3
73,20,40,33,3
78,21,42,36,3
80,24,48,32,3
87,22,44,43,3
90,29,58,32,3
96,35,70,26,3
98,25,50,48,3
99,33,66,33,3
103,32,64,39,3
108,10,20,88,3
110,31,62,48,3
111,15,30,81,3
112,18,36,76,3
113,13,26,87,3
116,30,60,56,3
120,38,76,44,3
124,43,86,38,3
128,37,74,54,3
136,44,88,48,3
138,52,104,34,3
139,63,126,13,3
139,39,78,61,3
