completion_time,task_id,start_time,process_time,num_operations
6,0,0,6,3
11,2,4,7,3
18,1,2,16,3
21,5,10,11,3
26,4,8,18,3
26,3,6,20,3
27,8,16,11,3
30,10,20,10,3
35,14,28,7,3
37,11,22,15,3
38,15,30,8,3
39,12,24,15,3
40,6,12,28,3
41,18,36,5,3
41,13,26,15,3
46,19,38,8,3
47,21,42,5,3
48,9,18,30,3
48,17,34,14,3
48,16,32,16,3
53,23,46,7,3
60,25,50,10,3
62,26,52,10,3
63,28,56,7,3
63,7,14,49,3
65,27,54,11,3
65,22,44,21,3
66,29,58,8,3
67,20,40,27,3
70,31,62,8,3
76,32,64,12,3
86,35,70,16,3
86,36,72,14,3
88,34,68,20,3
88,42,84,4,3
89,39,78,11,3
91,30,60,31,3
95,38,76,19,3
101,37,74,27,3
102,43,86,16,3
104,49,98,6,3
105,33,66,39,3
107,40,80,27,3
108,47,94,14,3
109,41,82,27,3
109,24,48,61,3
113,45,90,23,3
114,48,96,18,3
115,52,104,11,3
116,44,88,28,3
116,53,106,10,3
118,51,102,16,3
125,55,110,15,3
128,46,92,36,3
130,56,112,18,3
133,57,114,19,3
137,61,122,15,3
140,60,120,20,3
