completion_time,task_id,start_time,process_time,num_operations
9,2,2,7,3
9,3,3,6,3
14,4,4,10,3
16,5,5,11,3
18,1,1,17,3
20,11,11,9,3
23,7,7,16,3
25,10,10,15,3
27,14,14,13,3
38,23,23,15,3
40,15,15,25,3
40,18,18,22,3
42,9,9,33,3
43,20,20,23,3
48,21,21,27,3
50,26,26,24,3
50,16,16,34,3
53,0,0,53,3
54,13,13,41,3
56,35,35,21,3
59,25,25,34,3
60,17,17,43,3
61,40,40,21,3
61,8,8,53,3
62,6,6,56,3
63,22,22,41,3
63,24,24,39,3
64,36,36,28,3
69,52,52,17,3
73,32,32,41,3
74,12,12,62,3
74,47,47,27,3
78,51,51,27,3
83,30,30,53,3
83,29,29,54,3
85,27,27,58,3
86,50,50,36,3
88,45,45,43,3
89,62,62,27,3
91,55,55,36,3
91,60,60,31,3
93,61,61,32,3
95,59,59,36,3
101,56,56,45,3
102,34,34,68,3
103,69,69,34,3
105,33,33,72,3
108,31,31,77,3
109,54,54,55,3
110,87,87,23,3
111,28,28,83,3
113,72,72,41,3
114,66,66,48,3
116,53,53,63,3
117,37,37,80,3
119,64,64,55,3
120,57,57,63,3
121,63,63,58,3
122,44,44,78,3
123,43,43,80,3
125,101,101,24,3
126,74,74,52,3
127,89,89,38,3
129,82,82,47,3
130,88,88,42,3
134,48,48,86,3
135,41,41,94,3
140,102,102,38,3
